Tempo_Ephemeris_s,Tipo_Dado_ID,Banda_ID,Observavel
1753118712,11,3,-124504.20745468
1753118712,11,2,-32764.487371444
1753118713,11,2,-32763.816705703
1753118713,11,3,-124502.324100493
1753118714,11,2,-32763.561756133
1753118714,11,3,-124500.526897429
1753118715,11,3,-124498.728622436
1753118715,11,2,-32763.268907546
1753118716,11,3,-124496.898143767
1753118716,11,2,-32762.672060012
1753118717,11,2,-32762.032930373
1753118717,11,3,-124494.972751616
1753118718,11,3,-124493.14212799
1753118718,11,2,-32761.460803985
1753118719,11,2,-32760.957901
1753118719,11,3,-124491.27701187
1753118720,11,3,-124489.458400725
1753118720,11,2,-32760.496259688
1753118721,11,2,-32760.102090835
1753118721,11,3,-124487.646549224
1753118722,11,2,-32759.717691421
1753118722,11,3,-124485.832977294
1753118723,11,3,-124483.90894699
1753118723,11,2,-32758.965436934
1753118724,11,2,-32758.784337996
1753118724,11,3,-124482.165035247
1753118725,11,2,-32758.349676131
1753118725,11,3,-124480.328990935
1753118726,11,3,-124478.55347824
1753118726,11,2,-32758.024684905
1753118727,11,2,-32757.191780089
1753118727,11,3,-124476.602161406
1753118728,11,3,-124474.829742431
1753118728,11,2,-32756.934949874
1753118729,11,2,-32755.965307235
1753118729,11,3,-124472.834877013
1753118730,11,2,-32755.612865447
1753118730,11,3,-124471.023212432
1753118731,11,2,-32755.261375426
1753118731,11,3,-124469.21458435
1753118732,11,3,-124467.356960296
1753118732,11,2,-32754.474355697
1753118733,11,2,-32754.004695891
1753118733,11,3,-124465.482654571
1753118734,11,3,-124463.669803618
1753118734,11,2,-32753.72230339
1753118735,11,2,-32753.133548736
1753118735,11,3,-124461.867038726
1753118736,11,3,-124459.938755034
1753118736,11,2,-32752.710422515
1753118737,11,2,-32752.608406066
1753118737,11,3,-124458.258232116
1753118738,11,2,-32751.874975203
1753118738,11,3,-124456.371173858
1753118739,11,2,-32751.368896483
1753118739,11,3,-124454.482273101
1753118740,11,2,-32750.821048736
1753118740,11,3,-124452.631389617
1753118741,11,2,-32750.294403075
1753118741,11,3,-124450.810619353
1753118742,11,3,-124448.963100432
1753118742,11,2,-32749.856191634
1753118743,11,2,-32749.46218872
1753118743,11,3,-124447.142078399
1753118744,11,3,-124445.271266936
1753118744,11,2,-32748.879112243
1753118745,11,2,-32748.333896636
1753118745,11,3,-124443.385986327
1753118746,11,2,-32747.899351119
1753118746,11,3,-124441.619682311
1753118747,11,3,-124439.762538909
1753118747,11,2,-32747.670303344
1753118748,11,3,-124437.939014434
1753118748,11,2,-32747.083126067
1753118749,11,2,-32746.38261032
1753118749,11,3,-124436.045719146
1753118750,11,3,-124434.266872405
1753118750,11,2,-32746.071804046
1753118751,11,2,-32745.577917098
1753118751,11,3,-124432.404514312
1753118752,11,3,-124430.550189971
1753118752,11,2,-32745.1675148
1753118753,11,3,-124428.708484649
1753118753,11,2,-32744.542987822
1753118754,11,3,-124426.886940001
1753118754,11,2,-32744.16511917
1753118755,11,2,-32743.220390319
1753118755,11,3,-124424.968704223
1753118756,11,3,-124423.049907683
1753118756,11,2,-32742.847101211
1753118757,11,2,-32742.501123427
1753118757,11,3,-124421.325435637
1753118758,11,3,-124419.422340392
1753118758,11,2,-32742.078504561
1753118759,11,2,-32741.528615951
1753118759,11,3,-124417.589183806
1753118760,11,2,-32741.068061828
1753118760,11,3,-124415.775794982
1753118761,11,2,-32740.3510437
1753118761,11,3,-124413.850822448
1753118762,11,2,-32739.843719481
1753118762,11,3,-124411.991619109
1753118763,11,2,-32739.483327865
1753118763,11,3,-124410.186779021
1753118764,11,2,-32739.283172606
1753118764,11,3,-124408.41732025
1753118765,11,3,-124406.500606536
1753118765,11,2,-32738.479486464
1753118766,11,2,-32737.949825286
1753118766,11,3,-124404.634731292
1753118767,11,3,-124402.796710967
1753118767,11,2,-32737.484039306
1753118768,11,2,-32737.349952697
1753118768,11,3,-124401.023292541
1753118769,11,2,-32736.939582824
1753118769,11,3,-124399.223892211
1753118770,11,2,-32736.228507995
1753118770,11,3,-124397.32748413
1753118771,11,2,-32736.007659911
1753118771,11,3,-124395.503459929
1753118772,11,2,-32735.026815413
1753118772,11,3,-124393.577400207
1753118773,11,3,-124391.802227019
1753118773,11,2,-32734.949657439
1753118774,11,2,-32734.14313507
1753118774,11,3,-124389.921360015
1753118775,11,3,-124388.087490081
1753118775,11,2,-32733.93984413
1753118776,11,2,-32733.129194259
1753118776,11,3,-124386.205799102
1753118777,11,2,-32732.798309325
1753118777,11,3,-124384.34518814
1753118778,11,3,-124382.54610443
1753118778,11,2,-32732.257324218
1753118779,11,3,-124380.68603897
1753118779,11,2,-32731.804470061
1753118780,11,2,-32731.150711059
1753118780,11,3,-124378.773578643
1753118781,11,3,-124376.877468108
1753118781,11,2,-32730.428813933
1753118782,11,2,-32730.164751052
1753118782,11,3,-124375.100109099
1753118783,11,3,-124373.26529312
1753118783,11,2,-32729.806524276
1753118784,11,2,-32729.270776748
1753118784,11,3,-124371.396762847
1753118785,11,2,-32728.747472762
1753118785,11,3,-124369.561904906
1753118786,11,3,-124367.836460113
1753118786,11,2,-32728.730794906
1753118787,11,2,-32727.888610839
1753118787,11,3,-124365.885463714
1753118788,11,2,-32727.076999663
1753118788,11,3,-124363.976253509
1753118789,11,3,-124362.217090606
1753118789,11,2,-32727.169836043
1753118790,11,2,-32726.754238128
1753118790,11,3,-124360.448532103
1753118791,11,3,-124358.48997116
