source_id,ra,dec,astrometric_excess_noise
2545154605513386368,4.372425030748904,-0.6081492030995376,10.814281
2545156564018478080,4.4123980648173715,-0.5418560270273428,22.44648
2545163259872633472,4.527629470612469,-0.4693977083602698,1.8656409
2545163539045371776,4.4989350496189795,-0.45875599463894134,42.55607
2545164393742782976,4.496995212828506,-0.4267618429855014,1.529678
2545165325751766656,4.569744642577916,-0.40010307298082354,14.318211
2545168997948231936,3.894323618527847,-0.7741189365491347,10.229254
2545169856941504256,3.9984290444122204,-0.765625773708114,19.954435
2545173258556786432,3.784636184961089,-0.7166705347575925,1.4701803
2545173262850511872,3.7779583294825843,-0.7251048642171777,2.4056711
2545176900687894144,4.095303356540548,-0.6531632132211851,1.2755095
2545180199222803840,4.141498189099598,-0.54676775309368,1.0089777
2545181539252586496,3.9393869131392676,-0.6079827777186175,29.406923
2545194939550568704,3.786620366964074,-0.5271531647803303,28.509262
2545198959639989504,3.823599868048991,-0.4130410965568681,2.8710387
2545200475763788672,3.849739593571697,-0.40238419831353717,12.0456915
2545203774298989312,4.151384002916858,-0.5069442371832682,20.199627
2545204461492974208,4.2214211432313,-0.45811898697178643,1.5717869
2545207790092734336,4.09191721707508,-0.47231421752015174,32.044518
2545207893171954816,4.0799659577726635,-0.4546591968622414,4.473228
2545209340576373888,4.230060286472432,-0.39521531562709933,31.100414
2545212394299332992,4.355508072190442,-0.37247917474001846,12.348936
2545212570391760896,4.331673974129536,-0.36408875260339324,15.998751
2545218858223176704,4.34210427464727,-0.24665557771401964,1.5924728
2545219167460994816,4.331707928067478,-0.22057067648153936,3.93725
2545219889016321152,4.05119962169274,-0.4368242851253314,8.830464
2545225073042669952,4.0249622591927245,-0.2900037683076377,2.0271409
2545227821820414976,4.018336628876551,-0.21500672243980914,1.9168622
2545233078860223232,4.133795962398353,-0.2156195675954757,20.747139
2545233358033497728,4.111060300212917,-0.19184746371184433,21.454945
2545233834774475520,4.178783961646577,-0.14806706859279922,30.506323
2545236927150933760,4.21353609620249,-0.06679869967850412,1.4854316
2545236995870410880,4.215261969825436,-0.056503904774305176,15.636806
2545239091813829248,4.884324404566383,-0.4931524021672214,2.1885517
2545250739765513728,4.994682247743239,-0.3579096428616834,3.5290463
2545250842844387584,5.037797675002308,-0.3336734063617814,10.54225
2545251014644837376,4.9812450498194885,-0.3394635229614323,4.7636666
2545255348266812288,4.720801279946992,-0.4145556491483957,15.986338
2545265926769614848,4.914299835286006,-0.17696061541751615,18.458082
2545266888842296576,5.032752428307091,-0.16609525862561164,1.5992204
2545266961858750976,5.013567152265421,-0.14791554344483004,33.541985
2545267404239429376,4.989206132823327,-0.14010758273974447,2.0970607
2545269912499289216,4.83513874982351,-0.14299568918901376,15.375883
2545273417194365440,5.3225940449289135,-0.22172048437960443,2.5752769
2545275036395721856,5.402479264594926,-0.18437048106013207,1.1743028
2545277166700786048,5.189776267697166,-0.1934262286997979,2.8917644
2545288230536571264,5.485280322618239,0.04002732850623108,30.922876
